vowel,closure,burst,language,phon_ctxt_stress,phon_ctxt_canonical_vl,mimic,Block.Type,MinimalPairID,Word,Sound,phon_ctxt_r,phon_ctxt_l,phon_ctxt_n,Item.Filename,syllable,Item.MinimalPair,Item.Word,syllable_duration,num_of_segments
0.299581083,0.102572454,0.099226404,native,yes,long,irrelevant,test,12,smed,/d/,no,no,no,TDF_12_smed,1,S12,TDF_12_smed,0.774287597,4
0.284234916,0.128628308,0.090599062,native,yes,long,irrelevant,test,13,ljud,/d/,no,no,no,TDF_13_ljud,1,S13,TDF_13_ljud,0.665841802,3
0.301336377,0.12351957,0.078126847,native,yes,long,irrelevant,test,14,mod,/d/,no,no,no,TDF_14_mod,1,S14,TDF_14_mod,0.637636544,3
0.314711951,0.130618646,0.089671918,native,yes,long,irrelevant,test,15,nod15,/d/,no,no,no,TDF_15_nod,1,S15,TDF_15_nod,0.702889605,3
0.119300065,0.028252386,0.085460492,native,yes,short,irrelevant,test,16,fond,/d/,no,no,yes,TDF_16_fond,1,S16,TDF_16_fond,0.683282641,4
0.270781399,0.120507288,0.083185181,native,yes,long,irrelevant,test,17,sked,/d/,no,no,no,TDF_17_sked,1,S17,TDF_17_sked,0.619898212,3
0.295626819,0.117972448,0.076615862,native,yes,long,irrelevant,test,18,sjud,/d/,no,no,no,TDF_18_sjud,1,S18,TDF_18_sjud,0.65717357,3
0.304893745,0.121440825,0.100112012,native,yes,long,irrelevant,test,19,sjod,/d/,no,no,no,TDF_19_sjod,1,S19,TDF_19_sjod,0.676155333,3
0.31245622,0.115654895,0.083308338,native,yes,long,irrelevant,test,20,god,/d/,no,no,no,TDF_20_god,1,S20,TDF_20_god,0.645370951,3
0.310649497,0.142321915,0.054253528,native,yes,long,irrelevant,test,21,ljod,/d/,no,no,no,TDF_21_ljod,1,S21,TDF_21_ljod,0.638918483,3
0.30966446,0.115433933,0.081149608,native,yes,long,irrelevant,test,22,hed,/d/,no,no,no,TDF_22_hed,1,S22,TDF_22_hed,0.603790987,3
0.287093533,0.113600232,0.093758135,native,yes,long,irrelevant,test,23,hud,/d/,no,no,no,TDF_23_hud,1,S23,TDF_23_hud,0.590189283,3
0.287886807,0.094050933,0.110029966,native,yes,long,irrelevant,test,24,smid,/d/,no,no,no,TDF_24_smid,1,S24,TDF_24_smid,0.805625517,4
0.113388349,0.035064343,0.07881686,native,yes,short,irrelevant,test,25,synd,/d/,no,no,yes,TDF_25_synd,1,S25,TDF_25_synd,0.688216851,4
0.109386588,0.026685645,0.097904626,native,yes,short,irrelevant,test,26,rymd,/d/,no,no,yes,TDF_26_rymd,1,S26,TDF_26_rymd,0.664947048,4
0.147387604,0.038658878,0.085489567,native,yes,short,irrelevant,test,27,sand,/d/,no,no,yes,TDF_27_sand,1,S27,TDF_27_sand,0.681679294,4
0.147323648,0.026763372,0.078877139,native,yes,short,irrelevant,test,28,brand,/d/,no,no,yes,TDF_28_brand,1,S28,TDF_28_brand,0.725189664,5
0.150449797,0.202114929,0.075601163,native,yes,short,irrelevant,test,29,baadd,/d/,no,no,no,TDF_29_baadd,1,S29,TDF_29_baadd,0.58763268,3
0.151587738,0.16806108,0.089192744,native,yes,short,irrelevant,test,30,sladd,/d/,no,no,no,TDF_30_sladd,1,S30,TDF_30_sladd,0.68454995,4
0.121492201,0.184510534,0.083480637,native,yes,short,irrelevant,test,31,brodd,/d/,no,no,no,TDF_31_brodd,1,S31,TDF_31_brodd,0.652208528,4
0.290188886,0.116953117,0.082717044,native,yes,long,irrelevant,test,32,hoard,/d/,yes,no,no,TDF_32_hoard,1,S32,TDF_32_hoard,0.593066943,4
0.387063665,0.18247712,0.117137077,non-native,yes,long,yes,test,1,rid,/d/,no,no,no,TDF_1_rid,1,S1,TDF_1_rid,0.856353196,3
0.451777076,0.163999494,0.036761938,non-native,yes,long,yes,test,2,ved,/d/,no,no,no,TDF_2_ved,1,S2,TDF_2_ved,0.909077853,3
0.472168572,0.183559105,0.040201828,non-native,yes,long,yes,test,3,raad,/d/,no,no,no,TDF_3_raad,1,S3,TDF_3_raad,0.932698547,3
0.434950037,0.141975881,0.049399093,non-native,yes,long,yes,test,4,rod,/d/,no,no,no,TDF_4_rod,1,S4,TDF_4_rod,0.849992441,3
0.413909135,0.12292287,0.072024754,non-native,yes,long,yes,test,5,voad,/d/,no,no,no,TDF_5_voad,1,S5,TDF_5_voad,0.953296296,3
0.476333094,0.140779221,0.045265306,non-native,yes,long,yes,test,6,voard,/d/,yes,no,no,TDF_6_voard,1,S6,TDF_6_voard,0.849182054,4
