Subject,Session,Sound,Spelling1.ACC,Spelling1.RT,Word,Block,Group,participant
15,2,d,1,1112,sad,2,control,215
15,2,d,1,1313,charred,2,control,215
15,2,t,1,1561,heat,2,control,215
15,2,t,1,830,fate,2,control,215
15,2,d,0,918,fad,2,control,215
15,2,t,0,1483,heart,2,control,215
15,2,t,1,1254,eight,2,control,215
15,2,d,0,1224,plod,2,control,215
15,2,t,1,1004,meat,2,control,215
15,2,t,1,1103,late,2,control,215
15,2,d,1,1187,seed,2,control,215
15,2,d,0,928,pad,2,control,215
15,2,d,0,1327,hid,2,control,215
15,2,d,0,1062,wade,2,control,215
15,2,d,0,1177,ride,2,control,215
15,2,d,0,1606,Swede,2,control,215
15,2,d,0,1099,mad,2,control,215
15,2,d,1,1322,wide,2,control,215
15,2,t,1,1894,sight,2,control,215
15,2,d,1,1517,cord,2,control,215
15,2,d,1,1844,spade,2,control,215
15,2,d,1,1505,cold,2,control,215
15,2,d,1,1524,ford,2,control,215
15,2,d,1,1179,said,2,control,215
15,2,t,1,1389,neat,2,control,215
15,2,d,1,1316,owed,2,control,215
15,2,d,1,1583,send,2,control,215
15,2,t,1,1339,mount,2,control,215
15,2,d,1,1279,weed,2,control,215
15,2,d,1,1260,hide,2,control,215
15,2,t,1,1109,rot,2,control,215
15,2,t,1,1339,mutt,2,control,215
15,2,t,1,1846,feet,2,control,215
15,2,t,1,1463,meant,2,control,215
15,2,t,1,1373,hurt,2,control,215
15,2,t,1,1385,mate,2,control,215
15,2,d,1,1298,slide,2,control,215
15,2,d,0,1206,fond,2,control,215
15,2,d,1,1316,road,2,control,215
15,2,d,0,891,wed,2,control,215
15,2,t,1,995,hat,2,control,215
15,2,t,1,1043,pot,2,control,215
15,2,t,0,1150,slit,2,control,215
15,2,t,1,865,cot,2,control,215
15,2,d,1,800,code,2,control,215
15,2,t,1,1442,moat,2,control,215
15,2,t,1,1388,moot,2,control,215
15,2,t,1,1285,rate,2,control,215
15,2,d,1,1598,skid,2,control,215
15,2,d,1,1638,nod,2,control,215
15,2,d,1,1620,played,2,control,215
15,2,t,0,1363,root,2,control,215
15,2,t,1,1363,let,2,control,215
15,2,t,1,1886,pleat,2,control,215
15,2,d,0,998,cued,2,control,215
15,2,t,0,1393,cart,2,control,215
16,2,d,0,1120,kid,1,control,216
16,2,d,0,1055,mound,1,control,216
16,2,d,0,1033,aid,1,control,216
16,2,d,0,1118,heed,1,control,216
16,2,d,0,1006,led,1,control,216
16,2,d,0,1162,node,1,control,216
16,2,d,0,1504,laid,1,control,216
16,2,t,0,1472,oat,1,control,216
16,2,d,0,948,mend,1,control,216
16,2,d,0,1254,herd,1,control,216
16,2,t,0,1406,cute,1,control,216
16,2,d,0,1169,fade,1,control,216
16,2,d,0,1168,mud,1,control,216
16,2,d,0,1674,fried,1,control,216
16,2,d,0,1871,feed,1,control,216
16,2,t,0,974,slight,1,control,216
16,2,t,1,1310,wheat,1,control,216
16,2,d,1,1503,made,1,control,216
16,2,d,1,1065,cod,1,control,216
16,2,d,1,919,dead,1,control,216
16,2,t,1,733,hit,1,control,216
16,2,d,1,1011,card,1,control,216
16,2,t,1,957,set,1,control,216
16,2,t,1,1061,chart,1,control,216
16,2,t,1,1499,spate,1,control,216
16,2,t,1,1223,white,1,control,216
16,2,t,1,1367,skit,1,control,216
16,2,t,1,1115,plate,1,control,216
16,2,d,1,879,slid,1,control,216
16,2,t,1,1144,fort,1,control,216
16,2,t,1,1069,sweet,1,control,216
16,2,d,1,1113,mood,1,control,216
16,2,d,1,1315,mead,1,control,216
16,2,t,1,1221,coat,1,control,216
16,2,d,1,954,rod,1,control,216
16,2,t,1,1213,colt,1,control,216
16,2,d,1,1060,pod,1,control,216
16,2,t,1,1448,court,1,control,216
16,2,d,1,1079,side,1,control,216
16,2,d,1,1045,had,1,control,216
16,2,t,1,989,cent,1,control,216
16,2,t,1,865,pat,1,control,216
16,2,d,1,901,raid,1,control,216
16,2,t,1,1141,right,1,control,216
16,2,d,1,823,mode,1,control,216
16,2,t,1,961,font,1,control,216
16,2,t,1,1187,wrote,1,control,216
16,2,t,1,1143,plot,1,control,216
16,2,t,1,1034,mat,1,control,216
16,2,t,1,1874,knot,1,control,216
16,2,t,1,967,sat,1,control,216
16,2,d,1,1883,plead,1,control,216
16,2,t,1,1703,height,1,control,216
16,2,t,1,942,wet,1,control,216
16,2,d,1,1176,need,1,control,216
16,2,t,1,1530,wait,1,control,216
16,2,d,1,939,hard,1,control,216
16,2,d,1,1015,rude,1,control,216
16,2,t,1,1469,seat,1,control,216
16,2,t,1,1123,fat,1,control,216
16,2,t,1,1405,pot,2,control,216
16,2,d,1,1129,charred,2,control,216
16,2,t,1,800,hat,2,control,216
16,2,t,0,796,heart,2,control,216
16,2,t,1,887,fate,2,control,216
16,2,d,1,824,cold,2,control,216
16,2,d,1,1171,said,2,control,216
16,2,d,0,1640,seed,2,control,216
16,2,d,1,959,mad,2,control,216
16,2,d,1,1080,owed,2,control,216
16,2,d,0,975,cued,2,control,216
16,2,d,0,1214,fond,2,control,216
16,2,d,1,969,skid,2,control,216
16,2,t,1,1158,meat,2,control,216
16,2,d,1,1036,weed,2,control,216
16,2,t,1,1020,meant,2,control,216
16,2,t,0,1020,slit,2,control,216
16,2,d,1,967,cord,2,control,216
16,2,t,1,1068,debt,2,control,216
16,2,t,0,1283,root,2,control,216
16,2,t,1,1225,mount,2,control,216
16,2,t,1,983,cot,2,control,216
16,2,d,1,1130,hid,2,control,216
16,2,d,1,836,sad,2,control,216
16,2,d,1,764,wide,2,control,216
16,2,d,1,1365,ride,2,control,216
16,2,d,0,720,plod,2,control,216
16,2,t,1,1451,feet,2,control,216
16,2,t,0,1903,mate,2,control,216
16,2,d,1,819,nod,2,control,216
16,2,t,1,1189,late,2,control,216
16,2,t,1,1728,moat,2,control,216
16,2,t,0,1340,kit,2,control,216
16,2,t,1,1126,eight,2,control,216
16,2,t,1,1232,mutt,2,control,216
16,2,t,0,986,sight,2,control,216
16,2,t,0,753,cart,2,control,216
16,2,d,1,953,spade,2,control,216
16,2,t,1,1142,rate,2,control,216
16,2,t,1,979,note,2,control,216
16,2,d,1,1086,played,2,control,216
16,2,d,1,887,fad,2,control,216
