Speaker,Sound,Word,set,burst,closure,vowel,phon_ctxt_stress,syllable,Item.Word,onset_has_nasal,onset_has_lateral,onset_has_rhotic,coda_has_nasal,coda_has_lateral,coda_has_rhotic,has_long_vowel,Syllable_duration,Word_duration
E10,/d/,sad,2,0.069,0.048,0.323,yes,1,sad,no,no,no,no,no,no,no,0.615,0.615
E10,/d/,sad,3,0.106,0.034,0.302,yes,1,sad,no,no,no,no,no,no,no,0.609,0.609
E10,/d/,said,1,0.058,0.051,0.184,yes,1,said,no,no,no,no,no,no,no,0.497,0.497
E10,/d/,said,2,0.108,0.059,0.198,yes,1,said,no,no,no,no,no,no,no,0.55,0.55
E10,/d/,said,3,0.082,0.059,0.154,yes,1,said,no,no,no,no,no,no,no,0.476,0.476
E10,/t/,shot,1,0.091,0.162,0.171,yes,1,shot,no,no,no,no,no,no,no,0.604,0.604
E10,/t/,shot,2,0.105,0.124,0.185,yes,1,shot,no,no,no,no,no,no,no,0.658,0.658
E10,/t/,shot,3,0.076,0.116,0.19,yes,1,shot,no,no,no,no,no,no,no,0.629,0.629
E10,/t/,shout,1,0.136,0.129,0.246,yes,1,shout,no,no,no,no,no,no,yes,0.748,0.748
E10,/t/,shout,2,0.142,0.097,0.249,yes,1,shout,no,no,no,no,no,no,yes,0.683,0.683
E10,/t/,shout,3,0.114,0.103,0.196,yes,1,shout,no,no,no,no,no,no,yes,0.594,0.594
E10,/t/,silt,1,0.122,0.161,0.13,yes,1,silt,no,no,no,no,yes,no,no,0.705,0.705
E10,/t/,silt,2,0.117,0.151,0.135,yes,1,silt,no,no,no,no,yes,no,no,0.647,0.647
E10,/t/,silt,3,0.101,0.123,0.153,yes,1,silt,no,no,no,no,yes,no,no,0.616,0.616
E10,/t/,sit,1,0.114,0.131,0.122,yes,1,sit,no,no,no,no,no,no,no,0.618,0.618
E10,/t/,sit,2,0.111,0.139,0.108,yes,1,sit,no,no,no,no,no,no,no,0.568,0.568
E10,/t/,sit,3,0.072,0.132,0.077,yes,1,sit,no,no,no,no,no,no,no,0.528,0.528
E10,/d/,slide,1,0.07,0.046,0.278,yes,1,slide,no,no,no,no,no,no,yes,0.632,0.632
E10,/d/,slide,2,0.116,0.032,0.254,yes,1,slide,no,no,no,no,no,no,yes,0.633,0.633
E10,/d/,slide,3,0.094,0.032,0.237,yes,1,slide,no,no,no,no,no,no,yes,0.619,0.619
E10,/t/,soot,1,0.107,0.128,0.118,yes,1,soot,no,no,no,no,no,no,no,0.621,0.621
E10,/t/,soot,2,0.099,0.116,0.155,yes,1,soot,no,no,no,no,no,no,no,0.572,0.572
E10,/t/,soot,3,0.087,0.122,0.131,yes,1,soot,no,no,no,no,no,no,no,0.545,0.545
E10,/t/,vet,1,0.097,0.101,0.168,yes,1,vet,no,no,no,no,no,no,no,0.473,0.473
E10,/t/,vet,2,0.104,0.115,0.2,yes,1,vet,no,no,no,no,no,no,no,0.539,0.539
E10,/t/,vet,3,0.092,0.147,0.145,yes,1,vet,no,no,no,no,no,no,no,0.531,0.531
E10,/t/,wait,1,0.08,0.167,0.127,yes,1,wait,no,no,no,no,no,no,no,0.491,0.491
E10,/t/,wait,2,0.088,0.187,0.095,yes,1,wait,no,no,no,no,no,no,no,0.49,0.49
E10,/t/,wait,3,0.084,0.168,0.127,yes,1,wait,no,no,no,no,no,no,no,0.546,0.546
E10,/t/,white,1,0.11,0.158,0.127,yes,1,white,no,no,no,no,no,no,yes,0.458,0.458
E10,/t/,white,2,0.09,0.125,0.096,yes,1,white,no,no,no,no,no,no,yes,0.507,0.507
E10,/t/,white,3,0.115,0.143,0.091,yes,1,white,no,no,no,no,no,no,yes,0.509,0.509
E11,/d/,bad,1,0.115,0.089,0.311,yes,1,bad,no,no,no,no,no,no,no,0.538,0.538
E11,/d/,bad,2,0.14,0.089,0.344,yes,1,bad,no,no,no,no,no,no,no,0.586,0.586
E11,/d/,bad,3,0.185,0.081,0.335,yes,1,bad,no,no,no,no,no,no,no,0.613,0.613
E11,/d/,bed,1,0.177,0.096,0.205,yes,1,bed,no,no,no,no,no,no,no,0.498,0.498
E11,/d/,bed,2,0.143,0.102,0.213,yes,1,bed,no,no,no,no,no,no,no,0.472,0.472
E11,/d/,bed,3,0.113,0.108,0.205,yes,1,bed,no,no,no,no,no,no,no,0.437,0.437
E11,/d/,bud,1,0.184,0.109,0.201,yes,1,bud,no,no,no,no,no,no,no,0.533,0.533
E11,/d/,bud,2,0.105,0.144,0.239,yes,1,bud,no,no,no,no,no,no,no,0.516,0.516
E11,/d/,bud,3,0.106,0.111,0.251,yes,1,bud,no,no,no,no,no,no,no,0.508,0.508
E11,/t/,but,1,0.247,0.172,0.137,yes,1,but,no,no,no,no,no,no,no,0.591,0.591
E11,/t/,but,2,0.206,0.173,0.163,yes,1,but,no,no,no,no,no,no,no,0.554,0.554
E11,/t/,but,3,0.19,0.125,0.173,yes,1,but,no,no,no,no,no,no,no,0.523,0.523
E11,/d/,cooed,1,0.149,0.064,0.242,yes,1,cooed,no,no,no,no,no,no,no,0.562,0.562
E11,/d/,cooed,2,0.154,0.085,0.25,yes,1,cooed,no,no,no,no,no,no,no,0.637,0.637
E11,/d/,cooed,3,0.142,0.074,0.265,yes,1,cooed,no,no,no,no,no,no,no,0.606,0.606
E11,/t/,cut,1,0.179,0.132,0.117,yes,1,cut,no,no,no,no,no,no,no,0.541,0.541
E11,/t/,cut,2,0.187,0.129,0.157,yes,1,cut,no,no,no,no,no,no,no,0.59,0.59
E11,/t/,cut,3,0.157,0.134,0.13,yes,1,cut,no,no,no,no,no,no,no,0.536,0.536
E11,/d/,feed,1,0.103,0.077,0.321,yes,1,feed,no,no,no,no,no,no,no,0.731,0.731
E11,/d/,feed,2,0.18,0.099,0.309,yes,1,feed,no,no,no,no,no,no,no,0.761,0.761
E11,/d/,feed,3,0.16,0.109,0.31,yes,1,feed,no,no,no,no,no,no,no,0.782,0.782
E11,/t/,feet,1,0.198,0.152,0.11,yes,1,feet,no,no,no,no,no,no,no,0.683,0.683
E11,/t/,feet,2,0.204,0.169,0.123,yes,1,feet,no,no,no,no,no,no,no,0.682,0.682
E11,/t/,feet,3,0.273,0.117,0.168,yes,1,feet,no,no,no,no,no,no,no,0.708,0.708
E11,/d/,find,1,0.123,0.017,0.449,yes,1,find,no,no,no,yes,no,no,yes,0.734,0.734
E11,/d/,find,2,0.168,0.009,0.466,yes,1,find,no,no,no,yes,no,no,yes,0.894,0.894
E11,/d/,fond,1,0.147,0.015,0.407,yes,1,fond,no,no,no,yes,no,no,no,0.732,0.732
E11,/d/,gild,1,0.194,0.063,0.276,yes,1,gild,no,no,no,no,yes,no,no,0.571,0.571
E11,/d/,gild,2,0.152,0.056,0.311,yes,1,gild,no,no,no,no,yes,no,no,0.542,0.542
