Speaker,sound,word,set,rhyme,word_duration,cues,burst,closure,vowel
E12,d,sad,1,364,514.9999996,raw,85,40,239
E12,d,sad,2,372,507.0000004,raw,92,38,242
E12,d,sad,3,370,483.9999999,raw,81,50,239
E12,d,said,1,307,459.9999996,raw,81,39,187
E12,d,said,2,340,481.9999999,raw,114,44,182
E12,d,said,3,309,453.0000002,raw,89,52,168
E12,d,slide,1,309,540.0000002,raw,53,39,217
E12,d,slide,2,327,625,raw,136,43,148
E12,d,slide,3,205,558.0000008,raw,58,43,104
E13,d,bad,1,546,576.9999995,raw,58,85,403
E13,d,bad,2,558,573.0000003,raw,100,72,386
E13,d,bad,3,437,450.0000001,raw,33,241,163
E13,d,bed,1,420,598.0000001,raw,129,65,226
E13,d,bed,2,395,415,raw,95,73,227
E13,d,bed,3,396,401.9999999,raw,77,52,267
E13,d,bud,1,444,458.0000002,raw,106,83,255
E13,d,bud,2,448,474.0000002,raw,103,94,251
E13,d,bud,3,470,498.0000002,raw,120,88,262
E13,t,but,1,432,458,raw,125,142,165
E13,t,but,2,389,402.0000002,raw,103,121,165
E13,t,but,3,412,441.9999999,raw,73,159,180
E13,d,cooed,1,449,604.9999995,raw,96,67,286
E13,d,cooed,2,478,597.9999998,raw,100,63,315
E13,d,cooed,3,441,540.9999996,raw,107,21,313
E13,t,cut,1,390,483.0000001,raw,107,150,133
E13,t,cut,2,419,488.0000002,raw,98,168,153
E13,t,cut,3,397,461.9999996,raw,103,157,137
E13,d,feed,1,535,574.0000007,raw,152,62,321
E13,d,feed,2,549,597.9999998,raw,144,62,343
E13,d,feed,3,473,541.0000001,raw,114,82,277
E13,t,feet,1,407,597.9999997,raw,121,153,133
E13,t,feet,2,421,590.9999999,raw,119,130,172
E13,t,feet,3,349,417.0000003,raw,83,108,158
E13,d,fond,1,583,774.0000002,raw,100,9,474
E13,d,fond,2,579,681.9999992,raw,98,7,474
E13,d,gild,1,555,601.0000003,raw,124,111,320
E13,d,gild,2,585,620.0000007,raw,107,64,414
E13,d,gild,3,594,628.9999999,raw,141,125,328
E13,d,god,1,512,545.9999998,raw,133,49,330
E13,d,god,2,440,480.9999999,raw,99,65,276
E13,d,good,1,380,406.9999999,raw,102,98,180
E13,d,good,2,397,435.9999999,raw,106,104,187
E13,d,good,3,443,463.0000004,raw,127,123,193
E13,t,got,1,523,537.9999995,raw,145,131,247
E13,t,got,2,470,485.0000005,raw,109,123,238
E13,t,got,3,473,495.9999996,raw,117,150,206
E13,d,killed,1,477,577.0000005,raw,88,103,286
E13,d,killed,2,504,600,raw,81,27,396
E13,d,killed,3,471,549.0000002,raw,49,84,338
E13,d,lad,1,460,617.9999997,raw,110,67,283
E13,d,lad,2,397,614.0000005,raw,93,65,239
E13,d,lad,3,442,606.9999995,raw,70,65,307
E13,t,late,1,444,541.0000006,raw,114,119,211
E13,t,late,2,397,539.0000001,raw,119,122,156
E13,t,late,3,415,554.9999998,raw,113,143,159
E13,t,neat,1,387,483,raw,85,113,189
E13,t,neat,2,346,389.9999996,raw,53,120,173
E13,t,neat,3,373,440.9999998,raw,80,178,115
E13,d,need,1,468,556.0000005,raw,100,62,306
E13,d,need,2,436,522.9999998,raw,58,68,310
E13,d,need,3,391,456.0000002,raw,33,82,276
E13,t,night,1,407,514.0000005,raw,73,161,173
