Word,Sound,Block.Type,phon_ctxt_stress,onset_has_nasal,onset_has_lateral,onset_has_rhotic,coda_has_nasal,coda_has_lateral,coda_has_rhotic,coda_has_fricative,has_long_vowel,syllable,burst,closure,vowel,Item.Word,Item.WordID,Item.MinimalPair,word_duration,syllable_duration,syllable_id,num_of_segments
skid,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.075,0.048,0.136,skid,E102,E52,0.565,0.565,skid,4
skit,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.133,0.061,0.176,skit,E103,E52,0.74,0.74,skit,4
slid,/d/,test,yes,no,yes,no,no,no,no,no,no,1,0.053,0.091,0.141,slid,E104,E54,0.562,0.562,slid,4
slide,/d/,test,yes,no,yes,no,no,no,no,no,yes,1,0.073,0.052,0.196,slide,E105,E53,0.661,0.661,slide,4
slight,/t/,test,yes,no,yes,no,no,no,no,no,yes,1,0.135,0.034,0.224,slight,E106,E53,0.772,0.772,slight,4
slit,/t/,test,yes,no,yes,no,no,no,no,no,no,1,0.127,0.048,0.141,slit,E107,E54,0.651,0.651,slit,4
spade,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.08,0.077,0.211,spade,E108,E55,0.675,0.675,spade,4
spate,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.132,0.086,0.229,spate,E109,E55,0.773,0.773,spate,4
Swede,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.069,0.078,0.124,Swede,E110,E56,0.654,0.654,Swede,4
sweet,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.137,0.089,0.145,sweet,E111,E56,0.71,0.71,sweet,4
wade,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.069,0.064,0.171,wade,E112,E57,0.443,0.443,wade,3
wait,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.107,0.073,0.175,wait,E113,E57,0.599,0.599,wait,3
wed,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.064,0.079,0.147,wed,E114,E58,0.487,0.487,wed,3
weed,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.074,0.057,0.204,weed,E115,E59,0.475,0.475,weed,3
wet,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.18,0.093,0.163,wet,E116,E58,0.62,0.62,wet,3
wheat,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.147,0.066,0.13,wheat,E117,E59,0.588,0.588,wheat,3
white,/t/,test,yes,no,no,no,no,no,no,no,yes,1,0.13,0.047,0.22,white,E118,E60,0.692,0.692,white,3
wide,/d/,test,yes,no,no,no,no,no,no,no,yes,1,0.069,0.068,0.196,wide,E119,E60,0.487,0.487,wide,3
wrote,/t/,test,yes,no,no,yes,no,no,no,no,yes,1,0.198,0.044,0.188,wrote,E120,E44,0.684,0.684,wrote,3
