Speaker,Sound,Word,set,burst,closure,vowel,phon_ctxt_stress,phon_pre_nasal,phon_post_nasal,syllable,Item.Word
E11,/t/,feet,1,0.198,0.152,0.11,yes,no,no,1,feet
E11,/t/,feet,2,0.204,0.169,0.123,yes,no,no,1,feet
E11,/t/,feet,3,0.273,0.117,0.168,yes,no,no,1,feet
E11,/d/,find,1,0.123,0.017,0.449,yes,yes,no,1,find
E11,/d/,find,2,0.168,0.009,0.466,yes,yes,no,1,find
E11,/d/,fond,1,0.147,0.015,0.407,yes,yes,no,1,fond
E11,/d/,gild,1,0.194,0.063,0.276,yes,yes,no,1,gild
E11,/d/,gild,2,0.152,0.056,0.311,yes,yes,no,1,gild
E11,/d/,gild,3,0.123,0.057,0.31,yes,yes,no,1,gild
E11,/d/,god,1,0.073,0.091,0.305,yes,no,no,1,god
E11,/d/,god,2,0.112,0.096,0.335,yes,no,no,1,god
E11,/d/,god,3,0.131,0.091,0.367,yes,no,no,1,god
E11,/d/,good,1,0.093,0.089,0.201,yes,no,no,1,good
E11,/d/,good,2,0.155,0.116,0.225,yes,no,no,1,good
E11,/d/,good,3,0.088,0.088,0.229,yes,no,no,1,good
E11,/t/,got,1,0.124,0.146,0.182,yes,no,no,1,got
E11,/t/,got,2,0.238,0.134,0.21,yes,no,no,1,got
E11,/t/,got,3,0.138,0.125,0.229,yes,no,no,1,got
E11,/d/,killed,1,0.177,0.046,0.214,yes,yes,no,1,killed
E11,/d/,killed,2,0.13,0.044,0.275,yes,yes,no,1,killed
E11,/d/,killed,3,0.166,0.048,0.302,yes,yes,no,1,killed
E11,/d/,lad,1,0.125,0.078,0.271,yes,no,yes,1,lad
E11,/d/,lad,2,0.189,0.084,0.273,yes,no,yes,1,lad
E11,/d/,lad,3,0.119,0.088,0.258,yes,no,yes,1,lad
E11,/t/,late,1,0.184,0.084,0.168,yes,no,yes,1,late
E11,/t/,late,2,0.22,0.099,0.16,yes,no,yes,1,late
E11,/t/,late,3,0.242,0.116,0.146,yes,no,yes,1,late
E11,/t/,neat,1,0.198,0.135,0.136,yes,no,yes,1,neat
