Speaker,Sound,Word,set,phon_ctxt_stress,syllable,Item.Word,onset_has_nasal,onset_has_lateral,onset_has_rhotic,coda_has_nasal,coda_has_lateral,coda_has_rhotic,has_long_vowel,syllable_duration,word_duration,num_of_segments,combo,Type,burst,closure,vowel
E1,/t/,cut,3,yes,1,cut,no,no,no,no,no,no,no,0.38,0.38,3,E1_cut_3,old,0.118,0.085,0.116
E10,/t/,cut,1,yes,1,cut,no,no,no,no,no,no,no,0.492,0.492,3,E10_cut_1,old,0.147,0.118,0.131
E10,/t/,cut,2,yes,1,cut,no,no,no,no,no,no,no,0.553,0.553,3,E10_cut_2,old,0.165,0.142,0.159
E10,/t/,cut,3,yes,1,cut,no,no,no,no,no,no,no,0.571,0.571,3,E10_cut_3,old,0.192,0.114,0.152
E11,/t/,cut,1,yes,1,cut,no,no,no,no,no,no,no,0.541,0.541,3,E11_cut_1,old,0.179,0.132,0.117
E11,/t/,cut,2,yes,1,cut,no,no,no,no,no,no,no,0.59,0.59,3,E11_cut_2,old,0.187,0.129,0.157
E11,/t/,cut,3,yes,1,cut,no,no,no,no,no,no,no,0.536,0.536,3,E11_cut_3,old,0.157,0.134,0.13
E13,/t/,cut,1,yes,1,cut,no,no,no,no,no,no,no,0.483,0.483,3,E13_cut_1,old,0.107,0.15,0.133
E13,/t/,cut,2,yes,1,cut,no,no,no,no,no,no,no,0.488,0.488,3,E13_cut_2,old,0.098,0.168,0.153
E13,/t/,cut,3,yes,1,cut,no,no,no,no,no,no,no,0.462,0.462,3,E13_cut_3,old,0.103,0.157,0.137
E14,/t/,cut,1,yes,1,cut,no,no,no,no,no,no,no,0.511,0.511,3,E14_cut_1,old,0.203,0.165,0.088
E14,/t/,cut,2,yes,1,cut,no,no,no,no,no,no,no,0.507,0.507,3,E14_cut_2,old,0.193,0.181,0.085
E14,/t/,cut,3,yes,1,cut,no,no,no,no,no,no,no,0.491,0.491,3,E14_cut_3,old,0.184,0.157,0.09
E15,/t/,cut,1,yes,1,cut,no,no,no,no,no,no,no,0.403,0.403,3,E15_cut_1,old,0.101,0.103,0.113
